"auth.name","2015","2016","2017","2018","2019","change","change.4","prop.income"
"Stafford",NA,1619,1759,1421,1561,9.85221674876848,NA,62.3402555910543
"Wolverhampton",NA,1654,1379,1411,1541,9.21332388377039,NA,49.6776273372018
"Darlington",NA,1441,1438,1453,1506,3.64762560220233,NA,62.6716604244694
"Blackburn with Darwen",NA,1388,1663,1101,1495,35.7856494096276,NA,74.7126436781609
"Isle of Wight",NA,1176,1293,1253,1494,19.2338387869114,NA,30.285830123657
"Mole Valley",NA,1088,1066,1481,1492,0.742741390952048,NA,45.1847365233192
"Gloucester",NA,1443,1468,1533,1487,-3.00065231572081,NA,58.8910891089109
"Dover",NA,1275,1371,1603,1479,-7.73549594510293,NA,65.7041314971124
"Wirral",NA,1284,1377,1416,1461,3.17796610169492,NA,62.8387096774194
"Northamptonshire",NA,2044.05539303281,1777.04701098908,1626,1456,-10.4551045510455,NA,53.1386861313869
"Teignbridge",NA,1165,1253,1314,1451,10.4261796042618,NA,39.1738660907127
"Chesterfield",NA,1464,1540,1355,1444,6.56826568265683,NA,61.2903225806452
"Test Valley",NA,1331,1381,1425,1439,0.982456140350891,NA,57.1258435887257
"Staffordshire",NA,256,199,1344,1428,6.25,NA,131.009174311927
"Basingstoke & Deane",NA,1444,1486,1603,1412,-11.9151590767311,NA,48.1090289608177
"East Lindsey",NA,1260,1276,1362,1404,3.08370044052863,NA,45.5400583846902
"Calderdale",NA,1538,1458,1512,1395,-7.73809523809523,NA,40.4347826086956
"Derbyshire",NA,1342,1524,1519,1381,-9.08492429229757,NA,103.756574004508
"Huntingdonshire",NA,1223,1106,1356,1379,1.69616519174041,NA,53.5950252623397
"Dudley",NA,2209,2326,1423,1368,-3.86507378777232,NA,131.538461538462
"Lincolnshire",NA,751,1130,1180,1348,14.2372881355932,NA,104.902723735409
"Bury",NA,1244,1329,1290,1347,4.41860465116279,NA,53.9447336804165
"North Devon",NA,1228,1260,1332,1341,0.675675675675677,NA,39.9344848123883
"Havant",NA,1137.36768,621,619,1287,107.915993537964,NA,70.1362397820163
"East Hampshire",NA,820,889.52767,716,1277,78.3519553072626,NA,60.406811731315
"Mansfield",NA,1416,1383,1351,1271,-5.92153960029607,NA,78.944099378882
"East Devon",NA,1008,1140.66838,1198,1235,3.08848080133556,NA,35.0056689342404
"Nuneaton & Bedworth",NA,1083,1101,1274,1205,-5.4160125588697,NA,59.2428711897738
